,School Name,School Type,# School Enrollment,$ Total Per-Pupil Expenditures - Subtotal,District,Grades Served
1128,Amundsen High School,HIGH SCHOOL,1271.0,12579.96,City of Chicago SD 299, 9 10 11 12
1129,Bogan High School,HIGH SCHOOL,815.0,13666.18,City of Chicago SD 299, 9 10 11 12
1130,Carver Military Academy HS,HIGH SCHOOL,475.5,14901.48,City of Chicago SD 299, 9 10 11 12
1131,Farragut Career Academy HS,HIGH SCHOOL,642.0,16396.41,City of Chicago SD 299,PK 9 10 11 12
1132,Fenger Academy High School,HIGH SCHOOL,203.0,20218.05,City of Chicago SD 299, 9 10 11 12
1133,Foreman High School,HIGH SCHOOL,736.5,15566.14,City of Chicago SD 299, 9 10 11 12
1134,Back of The Yards IB HS,HIGH SCHOOL,1057.0,10862.11,City of Chicago SD 299, 9 10 11 12
1135,Gage Park High School,HIGH SCHOOL,344.0,17649.57,City of Chicago SD 299, 9 10 11 12
1136,Harlan Community Academy HS,HIGH SCHOOL,326.5,17403.97,City of Chicago SD 299, 9 10 11 12
1138,Hirsch Metropolitan High School,HIGH SCHOOL,95.0,29276.92,City of Chicago SD 299, 9 10 11 12
1139,Hubbard High School,HIGH SCHOOL,1663.0,11896.8,City of Chicago SD 299, 9 10 11 12
1140,Hyde Park Academy High School,HIGH SCHOOL,745.5,14550.55,City of Chicago SD 299, 9 10 11 12
1141,Thomas Kelly College Preparatory,HIGH SCHOOL,1853.0,12179.24,City of Chicago SD 299, 9 10 11 12
1142,Kelvyn Park High School,HIGH SCHOOL,407.0,14583.16,City of Chicago SD 299, 7 8 9 10 11 12
1143,Kennedy High School,HIGH SCHOOL,1569.0,12389.91,City of Chicago SD 299, 9 10 11 12
1144,Kenwood Academy High School,HIGH SCHOOL,1851.5,10784.07,City of Chicago SD 299, 7 8 9 10 11 12
1145,Lake View High School,HIGH SCHOOL,1395.5,11938.12,City of Chicago SD 299, 9 10 11 12
1146,Lane Technical High School,HIGH SCHOOL,4491.5,9342.56,City of Chicago SD 299, 7 8 9 10 11 12
1147,Marshall Metropolitan High School,HIGH SCHOOL,249.5,21580.87,City of Chicago SD 299, 9 10 11 12
1148,Mather High School,HIGH SCHOOL,1449.0,11576.15,City of Chicago SD 299, 9 10 11 12
1149,Morgan Park High School,HIGH SCHOOL,1213.5,13112.21,City of Chicago SD 299, 7 8 9 10 11 12
1150,Phillips Academy High School,HIGH SCHOOL,708.0,12596.51,City of Chicago SD 299, 9 10 11 12
1151,Roosevelt High School,HIGH SCHOOL,939.5,14012.62,City of Chicago SD 299, 8 9 10 11 12
1152,Schurz High School,HIGH SCHOOL,1578.5,13030.01,City of Chicago SD 299, 9 10 11 12
1153,Senn High School,HIGH SCHOOL,1399.0,11905.27,City of Chicago SD 299, 9 10 11 12
1154,King College Prep High School,HIGH SCHOOL,507.0,15110.72,City of Chicago SD 299, 9 10 11 12
1155,Steinmetz College Prep HS,HIGH SCHOOL,1200.0,12669.84,City of Chicago SD 299, 9 10 11 12
1156,Sullivan High School,HIGH SCHOOL,652.5,16223.41,City of Chicago SD 299, 9 10 11 12
1157,Taft High School,HIGH SCHOOL,3318.0,10528.24,City of Chicago SD 299, 7 8 9 10 11 12
1158,Tilden Career Communty Academy HS,HIGH SCHOOL,213.5,21611.56,City of Chicago SD 299, 9 10 11 12
