,School Name,School Type,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,Total Number of School Days,Student Attendance Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,High School 5-Year Graduation Rate - Total,Avg Class Size - High School,Teacher Retention Rate,# 9th Grade on Track,% Graduates enrolled in a Postsecondary Institution within 12 months,# Graduates enrolled in Community College,Chronic Absenteeism,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction.1,Five Essential Survey Student Response Rate,Five Essential Survey Teacher Response Rate,# CRDC Total Enrollment,% CRDC In-School Suspensions,% CRDC Out-of-School Suspensions,% CRDC Expulsions,% CRDC School Related Arrests,% CRDC Referral to Law Enforcement,% CRDC Chronic Absenteeism,% CRDC Incidents of Violence,% CRDC Enrolled PreK,% CRDC Advanced Placement Coursework,District,Grades Served
1128,Amundsen High School,HIGH SCHOOL,1289,16.1,11.2,58.7,11.4,0.5,0.3,1.7,21.5,10.1,75.3,0.9,178.0,91.3,475.0,40.6,3.4,85.8,84.6,27.4,92.5,317.0,70.1,80.0,32.4,63.0,4.0,79.0,4.0,88.0,5.0,68.0,4.0,80.0,5.0,90.1,82.3,1142.0,8.6,5.0,0.0,1.0,4.4,43.1,0.7,0.0,4.8,City of Chicago SD 299, 9 10 11 12
1129,Bogan High School,HIGH SCHOOL,828,0.5,60.7,38.4,,0.1,0.1,0.1,25.4,12.3,90.0,3.9,178.0,83.1,945.0,94.7,13.9,56.2,60.1,30.1,80.0,172.0,56.2,66.0,78.9,43.0,3.0,52.0,3.0,54.0,3.0,44.0,3.0,61.0,4.0,92.6,88.3,861.0,26.8,8.7,0.2,0.5,0.2,53.4,1.6,0.0,24.5,City of Chicago SD 299, 9 10 11 12
1130,Carver Military Academy HS,HIGH SCHOOL,481,1.2,35.6,63.0,,,,0.2,10.6,5.4,85.0,3.5,178.0,93.3,202.0,46.2,1.3,94.0,97.4,26.1,89.5,90.0,64.8,23.0,23.3,65.0,4.0,69.0,4.0,70.0,4.0,47.0,3.0,59.0,3.0,79.6,93.8,491.0,5.1,5.3,0.0,2.0,2.6,32.6,0.8,0.0,13.8,City of Chicago SD 299, 9 10 11 12
1131,Farragut Career Academy HS,HIGH SCHOOL,651,0.8,12.9,86.2,,,0.2,,24.9,28.4,97.4,1.7,178.0,85.4,422.0,62.1,12.9,57.0,57.2,26.8,82.9,105.0,46.3,42.0,62.9,55.0,3.0,66.0,4.0,53.0,3.0,60.0,4.0,69.0,4.0,82.7,85.1,914.0,0.4,11.4,0.0,0.2,2.0,58.1,1.6,3.6,1.4,City of Chicago SD 299,PK 9 10 11 12
1132,Fenger Academy High School,HIGH SCHOOL,203,,96.6,2.0,,0.5,,1.0,21.2,0.5,92.6,53.2,178.0,83.2,240.0,83.7,21.6,35.2,44.7,30.2,83.3,39.0,33.3,8.0,79.1,78.0,4.0,84.0,5.0,63.0,4.0,75.0,4.0,99.0,5.0,93.5,99.9,275.0,44.7,25.8,0.0,1.5,2.9,85.1,6.9,0.0,6.9,City of Chicago SD 299, 9 10 11 12
1133,Foreman High School,HIGH SCHOOL,739,2.3,21.5,75.1,0.5,,0.4,0.1,22.1,32.6,94.5,1.6,178.0,84.6,614.0,79.2,12.4,59.3,62.2,28.6,75.5,123.0,46.9,75.0,75.8,19.0,1.0,30.0,2.0,30.0,2.0,40.0,3.0,49.0,3.0,56.2,58.5,1058.0,18.5,12.3,0.4,1.0,3.5,44.3,1.3,0.0,17.3,City of Chicago SD 299, 9 10 11 12
1134,Back of The Yards IB HS,HIGH SCHOOL,1067,1.3,3.2,91.0,3.9,0.1,0.5,,10.0,11.6,92.9,0.6,178.0,93.3,340.0,35.0,0.8,97.5,98.8,25.4,89.0,262.0,68.8,67.0,24.1,47.0,3.0,59.0,3.0,69.0,4.0,76.0,4.0,91.0,5.0,75.7,77.5,791.0,0.5,4.2,0.0,0.3,0.3,12.9,1.0,0.0,0.0,City of Chicago SD 299, 9 10 11 12
1135,Gage Park High School,HIGH SCHOOL,342,0.6,37.7,61.1,,0.3,0.3,,26.3,28.4,97.1,22.5,178.0,81.4,581.0,100.0,20.1,39.5,47.5,26.1,75.6,74.0,35.4,27.0,89.3,33.0,2.0,40.0,3.0,35.0,2.0,38.0,2.0,47.0,3.0,83.3,80.0,412.0,22.1,7.5,0.0,1.5,1.9,36.7,1.5,0.0,11.9,City of Chicago SD 299, 9 10 11 12
1136,Harlan Community Academy HS,HIGH SCHOOL,328,0.3,97.6,1.8,,,,0.3,24.7,,94.8,17.1,178.0,82.8,368.0,83.3,15.2,51.9,56.3,26.6,71.8,73.0,48.6,32.0,87.6,39.0,2.0,48.0,3.0,50.0,3.0,73.0,4.0,82.0,5.0,55.0,64.3,622.0,38.9,27.5,0.3,3.2,6.4,78.8,7.2,0.0,14.5,City of Chicago SD 299, 9 10 11 12
1138,Hirsch Metropolitan High School,HIGH SCHOOL,98,,95.9,1.0,,,2.0,1.0,42.9,2.0,99.0,15.3,178.0,77.0,295.0,100.0,27.2,38.2,39.3,25.2,73.1,17.0,39.7,12.0,100.0,52.0,3.0,63.0,4.0,46.0,3.0,38.0,2.0,36.0,2.0,86.5,93.8,152.0,36.2,34.2,0.0,3.9,5.9,100.0,5.3,0.0,2.6,City of Chicago SD 299, 9 10 11 12
1139,Hubbard High School,HIGH SCHOOL,1691,1.9,6.5,90.8,0.2,,0.4,0.2,16.4,18.9,95.5,2.1,178.0,89.2,885.0,53.2,8.1,77.9,81.3,29.3,93.4,315.0,65.1,132.0,45.3,61.0,4.0,72.0,4.0,64.0,4.0,52.0,3.0,65.0,4.0,92.9,64.3,1722.0,11.9,5.3,0.0,0.5,3.4,46.9,0.9,0.0,17.7,City of Chicago SD 299, 9 10 11 12
1140,Hyde Park Academy High School,HIGH SCHOOL,776,,98.6,1.0,,,0.1,0.3,20.7,1.2,96.8,3.9,178.0,85.9,652.0,88.7,8.3,72.3,74.8,25.9,88.5,139.0,54.2,46.0,66.2,60.0,4.0,62.0,4.0,48.0,3.0,52.0,3.0,72.0,4.0,53.5,70.3,816.0,66.4,32.0,0.0,2.0,1.7,67.3,4.3,0.0,15.7,City of Chicago SD 299, 9 10 11 12
1141,Thomas Kelly College Preparatory,HIGH SCHOOL,1895,1.8,4.1,79.6,13.7,0.1,0.2,0.5,19.9,29.6,94.1,1.6,178.0,88.0,1027.0,55.9,11.7,67.0,64.2,29.1,88.8,343.0,59.0,152.0,50.8,47.0,3.0,50.0,3.0,58.0,3.0,47.0,3.0,60.0,4.0,59.3,73.1,2264.0,4.5,2.1,0.0,0.7,2.0,43.3,0.4,0.0,9.3,City of Chicago SD 299, 9 10 11 12
1142,Kelvyn Park High School,HIGH SCHOOL,405,2.5,5.7,91.1,,0.2,0.2,0.2,23.7,33.3,97.0,4.0,178.0,84.2,335.0,74.4,13.8,55.2,50.0,22.3,71.6,59.0,44.4,18.0,61.1,38.0,2.0,56.0,3.0,38.0,2.0,46.0,3.0,55.0,3.0,72.5,53.9,709.0,23.1,19.5,0.3,0.6,2.1,70.7,4.8,0.0,14.7,City of Chicago SD 299, 7 8 9 10 11 12
