,School Name,School Type,SAT Reading Average,SAT Math Average,District,Grades Served
9,Alcott Humanities High School,HIGH SCHOOL,470.8,461.3,City of Chicago SD 299, 9 10 11 12
57,Perspectives Chtr -  IIT Campus,CHARTER SCH,428.0,410.4,City of Chicago SD 299, 6 7 8 9 10 11 12
83,Disney II Magnet HS,HIGH SCHOOL,524.4,481.1,City of Chicago SD 299, 7 8 9 10 11 12
95,Harlan Community Academy HS,HIGH SCHOOL,400.3,380.0,City of Chicago SD 299, 9 10 11 12
103,Noble St Chtr-Hansberry College Prep - Silver,CHARTER SCH,466.8,459.7,City of Chicago SD 299, 9 10 11 12
149,Uplift Community High School,HIGH SCHOOL,392.2,369.4,City of Chicago SD 299, 9 10 11 12
299,Brooks College Prep Academy HS,HIGH SCHOOL,565.8,559.6,City of Chicago SD 299, 7 8 9 10 11 12
312,Raby High School,HIGH SCHOOL,391.1,385.3,City of Chicago SD 299, 9 10 11 12
443,Hirsch Metropolitan High School,HIGH SCHOOL,392.8,374.1,City of Chicago SD 299, 9 10 11 12
450,Senn High School,HIGH SCHOOL,489.3,487.9,City of Chicago SD 299, 9 10 11 12
464,School of Social Justice HS,HIGH SCHOOL,425.6,434.1,City of Chicago SD 299, 9 10 11 12
538,Fenger Academy High School,HIGH SCHOOL,392.2,372.1,City of Chicago SD 299, 9 10 11 12
592,Corliss High School,HIGH SCHOOL,402.4,394.6,City of Chicago SD 299, 9 10 11 12
635,Young Magnet High School,HIGH SCHOOL,637.4,655.4,City of Chicago SD 299, 7 8 9 10 11 12
658,Schurz High School,HIGH SCHOOL,429.5,423.5,City of Chicago SD 299, 9 10 11 12
706,Back of The Yards IB HS,HIGH SCHOOL,475.0,490.7,City of Chicago SD 299, 9 10 11 12
731,Air Force Acad High School,HIGH SCHOOL,443.4,434.2,City of Chicago SD 299, 9 10 11 12
758,Noble St Chtr-Comer College Prep,CHARTER SCH,463.4,452.3,City of Chicago SD 299, 6 7 8 9 10 11 12
761,Austin College and Career Academy High School,HIGH SCHOOL,384.7,383.1,City of Chicago SD 299, 9 10 11 12
798,Spry Community Links High School,HIGH SCHOOL,422.2,421.9,City of Chicago SD 299, 9 10 11 12
801,YCCS-Olive Harvey Mid College HS,CHARTER SCH,387.3,369.8,City of Chicago SD 299, 9 10 11 12
803,Westinghouse High School,HIGH SCHOOL,521.0,527.2,City of Chicago SD 299, 9 10 11 12
859,Noble St Chtr-DRW Trading College Prep,CHARTER SCH,429.5,427.4,City of Chicago SD 299, 9 10 11 12
871,Chicago Academy High School,HIGH SCHOOL,468.7,452.4,City of Chicago SD 299, 9 10 11 12
895,Douglass Academy High School,HIGH SCHOOL,400.0,372.7,City of Chicago SD 299, 9 10 11 12
918,ASPIRA Charter - Early College Prep HS,CHARTER SCH,421.6,424.8,City of Chicago SD 299, 9 10 11 12
923,Dunbar Vocational Career Acad HS,HIGH SCHOOL,402.1,386.3,City of Chicago SD 299, 9 10 11 12
935,Gage Park High School,HIGH SCHOOL,397.9,381.7,City of Chicago SD 299, 9 10 11 12
956,Chicago Excel Academy HS,HIGH SCHOOL,399.5,375.4,City of Chicago SD 299, 9 10 11 12
966,Bogan High School,HIGH SCHOOL,406.1,400.3,City of Chicago SD 299, 9 10 11 12
990,YCCS-Jane Addams Alternative HS,CHARTER SCH,414.5,395.2,City of Chicago SD 299, 9 10 11 12
1016,Lindblom Math & Science Acad HS,HIGH SCHOOL,543.3,545.9,City of Chicago SD 299, 7 8 9 10 11 12
1033,CICS - Longwood Campus,CHARTER SCH,401.7,386.2,City of Chicago SD 299, 3 4 5 6 7 8 9 10 11 12
1041,Acero Chtr Sch Network Victoria Soto Campus,CHARTER SCH,424.9,426.1,City of Chicago SD 299, 9 10 11 12
1061,Foreman High School,HIGH SCHOOL,393.4,392.6,City of Chicago SD 299, 9 10 11 12
1070,Chicago HS for the Arts,HIGH SCHOOL,506.9,473.3,City of Chicago SD 299, 9 10 11 12
1081,Univ of Chicago Chtr-Woodlawn,CHARTER SCH,422.5,427.8,City of Chicago SD 299, 6 7 8 9 10 11 12
1121,Kelvyn Park High School,HIGH SCHOOL,419.1,416.2,City of Chicago SD 299, 7 8 9 10 11 12
1138,Northside College Preparatory Hs,HIGH SCHOOL,662.1,663.2,City of Chicago SD 299, 9 10 11 12
1160,Curie Metropolitan High School,HIGH SCHOOL,443.0,449.7,City of Chicago SD 299, 9 10 11 12
1162,Acero Chtr Sch Newtwork- Sor Juana Ines de la Cruz,CHARTER SCH,447.6,444.8,City of Chicago SD 299, K 1 2 3 4 5 6 7 8 9 10 11 12
1163,Clark Acad Prep Magnet High Schl,HIGH SCHOOL,408.5,391.6,City of Chicago SD 299, 9 10 11 12
1171,YCCS-Scholastic Achievement HS,CHARTER SCH,383.2,358.3,City of Chicago SD 299, 9 10 11 12
1183,Roosevelt High School,HIGH SCHOOL,421.9,421.1,City of Chicago SD 299, 8 9 10 11 12
1195,Crane Medical Prep HS,HIGH SCHOOL,462.2,457.7,City of Chicago SD 299, 9 10 11 12
1218,YCCS- McKinley-Lakeside Leadership Academy,CHARTER SCH,377.9,361.3,City of Chicago SD 299, 9 10 11 12
1289,EPIC Academy High School,CHARTER SCH,439.5,426.0,City of Chicago SD 299, 9 10 11 12
1299,YCCS-West Town Academy Alt HS,CHARTER SCH,376.0,368.8,City of Chicago SD 299, 9 10 11 12
1308,Intrinsic Charter High School,CHARTER SCH,475.7,487.2,City of Chicago SD 299, 7 8 9 10 11 12
1329,Catalyst Charter - Maria ES,CHARTER SCH,444.7,435.1,City of Chicago SD 299, K 1 2 3 4 5 6 7 8 9 10 11 12
1385,Marine Leadership Academy - Ames,ELEMENTARY,439.4,443.5,City of Chicago SD 299, 7 8 9 10 11 12
1391,Noble St Chtr-Golder College Prep,CHARTER SCH,477.8,505.1,City of Chicago SD 299, 9 10 11 12
